"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"tfsstabwdp_853","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI horizontal ramus of the anterior segment of the lateral sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_lat.fis.ant.horizont.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_latfisanthorizontrh"
"tfsstabwdp_854","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI vertical ramus of the anterior segment of the lateral sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_lat.fis.ant.vertical.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_latfisantverticalrh"
"tfsstabwdp_855","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI posterior ramus of the lateral sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_lat.fis.post.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_latfispostrh"
"tfsstabwdp_856","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI occipital pole","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_pole.occipital.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_poleoccipitalrh"
"tfsstabwdp_857","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI temporal pole","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_pole.temporal.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_poletemporalrh"
"tfsstabwdp_858","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI calcarine sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.calcarine.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_scalcarinerh"
"tfsstabwdp_859","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI central sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.central.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_scentralrh"
"tfsstabwdp_860","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI marginal branch of the cingulate sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.cingul.marginalis.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_scingulmarginalisrh"
"tfsstabwdp_861","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI anterior segment of the circular sulcus of the insula","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.circular.insula.ant.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_scircularinsulaantrh"
"tfsstabwdp_862","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI inferior segment of the circular sulcus of the insula","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.circular.insula.inf.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_scircularinsulainfrh"
"tfsstabwdp_863","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in right hemisphere cortical Destrieux ROI superior segment of the circular sulcus of the insula","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.circular.insula.sup.rh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_scircularinsulasuprh"
